20170614005143.wav,UK,'n5wph',Accepted,'6.66636's
20170614005153.wav,UK,'dxcu3',Accepted,'6.27205's
20170614005202.wav,UK,'lutpr',NotAccepted,'7.15628's
20170614005212.wav,UK,'4jje2',NotAccepted,'6.94029's
20170614005222.wav,UK,'aa7yz',NotAccepted,'6.27598's
20170614005232.wav,UK,'uuu',NotAccepted,'7.09411's
20170614005242.wav,UK,'wwwB',NotAccepted,'6.62543's
20170614005253.wav,UK,'2tba',NotAccepted,'7.41919's
20170614005310.wav,UK,'6ghdx',Accepted,'6.11796's
20170614005319.wav,UK,'yvv8',NotAccepted,'6.45014's
20170614005329.wav,UK,'kff6j',NotAccepted,'7.20164's
20170614005340.wav,UK,'2tok',NotAccepted,'7.06056's
20170614005351.wav,UK,'an8rm',NotAccepted,'6.1616's
20170615071851.wav,UK,'0221lo',NotAccepted,'8.35856's
20170615071902.wav,UK,'t5jjd',Accepted,'6.56304's
20170615071912.wav,UK,'ooi2w',NotAccepted,'6.55672's
20170615071922.wav,UK,'1na5ad',NotAccepted,'6.5013's
20170615071931.wav,UK,'ittt',NotAccepted,'6.78559's
20170615071941.wav,UK,'a04jk',NotAccepted,'6.88227's
20170615071951.wav,UK,'tp1i8',NotAccepted,'6.11446's
20170615072029.wav,UK,'ggtc',NotAccepted,'8.1374's
20170615072040.wav,UK,'ff6aa',NotAccepted,'6.81961's
20170615072050.wav,UK,'50jnn',NotAccepted,'6.69065's
20170615072100.wav,UK,'gth08',Accepted,'6.33515's
20170615072114.wav,UK,'i2oo2',NotAccepted,'6.55884's
20170615072124.wav,UK,'wu078',NotAccepted,'5.79669's
20170615072132.wav,UK,'nf08m',NotAccepted,'6.49234's
20170615072142.wav,UK,'hh03',NotAccepted,'6.74601's
20170615072151.wav,UK,'Biggx',NotAccepted,'7.43566's
20170615072201.wav,UK,'oo6nx',NotAccepted,'6.5001's
20170615072211.wav,UK,'aib6d',Accepted,'5.87968's
20170615072221.wav,UK,'uv8ql',NotAccepted,'6.52835's
20170615072230.wav,UK,'l03ga',NotAccepted,'6.15081's
20170615072239.wav,UK,'0crui',NotAccepted,'7.71205's
20170615072250.wav,UK,'muuu',NotAccepted,'6.37842's
20170615072259.wav,UK,'00hBr',NotAccepted,'5.87571's
20170615072307.wav,UK,'ttsn',NotAccepted,'5.80236's
20170615072316.wav,UK,'xx6kn',NotAccepted,'6.56585's
20170615072326.wav,UK,'t2gel',NotAccepted,'7.15258's
20170615072336.wav,UK,'caaj',NotAccepted,'6.97906's
20170615072345.wav,UK,'tdtt',NotAccepted,'7.16959's
20170615072355.wav,UK,'njt0b',NotAccepted,'6.63938's
20170615072404.wav,UK,'tllv',NotAccepted,'6.07758's
20170615072413.wav,UK,'xxxmm',NotAccepted,'8.22449's
20170615072424.wav,UK,'wyia0',NotAccepted,'6.18358's
20170615072433.wav,UK,'ttiid',NotAccepted,'6.9188's
20170615072443.wav,UK,'0ttnf',NotAccepted,'6.2708's
20170615072452.wav,UK,'xx0449',NotAccepted,'6.37532's
20170615072501.wav,UK,'hhq9x',NotAccepted,'6.12346's
20170615072509.wav,UK,'0e5d4',NotAccepted,'6.03791's
20170615072519.wav,UK,'cbb29',NotAccepted,'5.43454's
20170615072527.wav,UK,'aedu5',Accepted,'5.97506's
20170615072535.wav,UK,'u0ddm',NotAccepted,'5.89041's
20170615072545.wav,UK,'xxycc',NotAccepted,'6.39119's
20170615072554.wav,UK,'hhht',NotAccepted,'8.30876's
20170615072605.wav,UK,'jj4l8',NotAccepted,'6.54436's
20170615072614.wav,UK,'tiip',NotAccepted,'6.60286's
20170615072624.wav,UK,'xxmj3',NotAccepted,'7.28627's
20170615072634.wav,UK,'0vj28',NotAccepted,'6.20415's
20170615072643.wav,UK,'ccjq0',NotAccepted,'6.89433's
