20170615135415.wav,UK,'wunly',NotAccepted,'21.72038's
20170615135440.wav,UK,'19',NotAccepted,'25.24527's
20170615135509.wav,UK,'nw2iuzzz2',NotAccepted,'23.42162's
20170618022759.wav,UK,'pklz',NotAccepted,'24.26732's
20170618022827.wav,UK,'ekt84d',NotAccepted,'23.60968's
20170618022929.wav,UK,'tm8zt',NotAccepted,'21.85576's
20170618022954.wav,UK,'llgazz8',NotAccepted,'25.68926's
20170618023023.wav,UK,'v9s2',NotAccepted,'24.58135's
20170618193014.wav,UK,'sz5zze',NotAccepted,'24.89857's
20170618193043.wav,UK,'a2raa2',NotAccepted,'23.59859's
20170618193110.wav,UK,'yvmz',NotAccepted,'22.31087's
20170618200340.wav,UK,'bdl7z',NotAccepted,'24.56304's
20170618200408.wav,UK,'4w1zi',NotAccepted,'24.16389's
20170618200436.wav,UK,'gizzl',NotAccepted,'24.47856's
20170618200610.wav,UK,'3z2',NotAccepted,'23.45766's
20170618200637.wav,UK,'tkpded',NotAccepted,'23.34736's
20170618200709.wav,UK,'gtztzmm',NotAccepted,'23.67162's
20170618200737.wav,UK,'zpe2c',NotAccepted,'25.64478's
20170618211245.wav,UK,'zwlz',NotAccepted,'24.21482's
20170618211313.wav,UK,'328gzm',NotAccepted,'23.78927's
20170618211341.wav,UK,'l3tyd',NotAccepted,'24.19587's
20170618211410.wav,UK,'twi2',NotAccepted,'24.22931's
20170618211439.wav,UK,'cdlz12',NotAccepted,'23.13238's
20170618211506.wav,UK,'92a',NotAccepted,'25.44603's
20170618211536.wav,UK,'9zzmzizziz',NotAccepted,'24.81938's
20170618211614.wav,UK,'pm2',NotAccepted,'23.81635's
20170618211642.wav,UK,'iwpzc',NotAccepted,'23.782's
20170618211709.wav,UK,'miu',NotAccepted,'24.81241's
20170620004934.wav,UK,'miu',NotAccepted,'23.69342's
20170626031655.wav,UK,'5l',NotAccepted,'21.65994's
