20170606233311.wav,US,'7nvnm',Accepted,'68.59628's
20170606233425.wav,US,'f1yat',Accepted,'6.66258's
20170606233458.wav,US,'mea97',Accepted,'26.64459's
20170606233529.wav,US,'vue3k',Accepted,'5.31031's
20170606233538.wav,US,'w1ckx',Accepted,'26.63757's
20170614003735.wav,US,'whevt',Accepted,'6.02016's
20170614003744.wav,US,'bvj0f',Accepted,'5.33111's
20170614003752.wav,US,'8n9wk',Accepted,'4.85565's
20170614003800.wav,US,'on5kp',Accepted,'5.38731's
20170614003809.wav,US,'uo0j2',Accepted,'19.1355's
20170615135031.wav,US,'byyv6',Accepted,'5.53538's
20170615135041.wav,US,'2dm9p',Accepted,'5.35599's
20170615135049.wav,US,'pyhcx',Accepted,'5.46735's
20170615135058.wav,US,'pdygg',Accepted,'5.7244's
20170615135108.wav,US,'jS5h1',Accepted,'5.35087's
20170618194539.wav,US,'yjSit',Accepted,'5.40963's
20170618194548.wav,US,'mzeuS',Accepted,'5.07985's
20170618194556.wav,US,'v36rx',Accepted,'5.69819's
20170618194607.wav,US,'xh2ko',Accepted,'5.42106's
20170618194616.wav,US,'9c9aS',Accepted,'4.96643's
20170618194623.wav,US,'kg5xp',Accepted,'5.27104's
20170618194632.wav,US,'p7uum',Accepted,'4.94557's
20170618194640.wav,US,'lkgS5',Accepted,'4.84246's
20170618194647.wav,US,'9hki6',Accepted,'5.34349's
20170618194657.wav,US,'vuS35',Accepted,'5.60838's
20170618194706.wav,US,'f1l24',Accepted,'5.02205's
20170618194716.wav,US,'h45uq',Accepted,'5.02827's
20170618194724.wav,US,'uq6u9',Accepted,'5.30369's
20170618194732.wav,US,'32czc',Accepted,'4.77503's
20170618194740.wav,US,'qSewe',Accepted,'5.93806's
20170618194749.wav,US,'otowS',Accepted,'5.4199's
20170618194759.wav,US,'aq28h',Accepted,'7.24187's
20170618194811.wav,US,'ka4gd',Accepted,'5.47609's
20170618194820.wav,US,'n6jik',Accepted,'5.17891's
20170618194828.wav,US,'4wynh',Accepted,'4.94708's
20170618194837.wav,US,'ybfk8',Accepted,'4.99719's
20170618194845.wav,US,'b4i7o',Accepted,'5.0962's
20170618194854.wav,US,'h631k',Accepted,'5.32846's
20170618194902.wav,US,'myjau',Accepted,'8.08887's
20170618194913.wav,US,'9121t',Accepted,'4.72171's
20170618194921.wav,US,'f2ihf',Accepted,'5.88874's
20170618195434.wav,US,'zednz',NotAccepted,'5.03218's
20170618195441.wav,US,'gql0x',Accepted,'5.152's
20170618195450.wav,US,'rugqh',Accepted,'5.13164's
20170618195458.wav,US,'4tl1o',Accepted,'4.81152's
20170618195505.wav,US,'y7f7l',Accepted,'4.86168's
20170618195513.wav,US,'hz0vj',Accepted,'5.1512's
20170618195521.wav,US,'6vn3S',Accepted,'4.88623's
20170618195530.wav,US,'qh004',Accepted,'5.03867's
20170618195538.wav,US,'mtryk',Accepted,'5.41496's
20170618195547.wav,US,'fm7pn',Accepted,'5.89824's
20170618195556.wav,US,'d6gff',Accepted,'5.33018's
20170618195606.wav,US,'y7l6q',Accepted,'7.64591's
20170618195617.wav,US,'poppf',Accepted,'5.85938's
20170618195626.wav,US,'nleha',Accepted,'5.25556's
20170618195634.wav,US,'gg3ln',Accepted,'4.75915's
20170618195642.wav,US,'wht55',Accepted,'6.17059's
20170618195651.wav,US,'cyjee',Accepted,'5.24956's
20170618195659.wav,US,'0egje',Accepted,'4.86383's
20170618195707.wav,US,'qk2b0',Accepted,'5.04921's
20170618195715.wav,US,'zw26g',NotAccepted,'4.98414's
20170618195723.wav,US,'nmfo2',Accepted,'4.76493's
20170618195734.wav,US,'pxirm',Accepted,'5.33397's
